Timestamp	Data	Título	Subtitulo	Texto da matéria	Editoria	Veículo de Comunicação	Autor	Localidade	Tags	Link para a matéria original	Link para todos os vídeos	Link para fotos	Link para fotos	Link para fotos	Link para fotos	Link para fotos	Link da imagem da matéria
7/14/2015 19:22:55	7/13/2015	Servidores do INSS seguem em greve, com agências paralisadas no RJ	Nova assembleia no estado está marcada para sexta-feira. Funcionários pedem 27,5% de reajuste salarial, entre outras coisas.	A greve nacional dos servidores do Instituto Nacional do Seguro Social (INSS) segue nesta segunda-feira (13) com agências paralisadas em Maricáx, Bairro de Fátima (Niteróix), São Gonçalox e Arraial do Cabox, ligados à gerência de Niterói, na Região Metropolitana do Rio. Segundo o último balanço atualizado do próprio INSS, até a noite desta segunda-feira (13), das 106 agências das sete gerências do estado do Rio de Janeiro, sete unidades (7%) estavam totalmente paralisadas e outras 23 (22%), com atendimento parcial. O número de agências sem atendimento no RJ permanece o mesmo que na sexta-feira (10). Porém, mais 10 unidades passaram a ter atendimento parcial, conforme informou o INSS. A greve nacional, que atinge vários estados, começou na terça-feira (7). Os funcionários pedem um reajuste salarial de 27,5 % imediato, com aumento gradual durante os próximos quatro anos, aumento no valor dos benefícios, paridade entre ativos e aposentados. Além do reajuste, querem melhorias nas condições de trabalho e no atendimento à população. De acordo com o Sindicato dos Trabalhadores em Saúde e Previdência do Rio de Janeiro (Sindsprev-RJ), está marcada uma assembleia para sexta-feira (17) para avaliar o movimento no estado. A greve, inicialmente, é por tempo indeterminado. O INSS informa que a pessoa que tinha atendimento agendado para os dias de paralisação terá um reagendamento marcado pela própria agenda e que poderá consultar a nova data pelo telefone 135, no dia seguinte à data inicialmente marcada. Para que não haja prejuízo para o público, será dada entrada de documentos na data inicialmente agendada para que ninguém fique sem os benefícios a que tem direito. Informações sobre quais agências estão com os serviços paralisados podem ser obtidas pelo telefone 135.	Rio	G1	Alba Valéria Mendonça	Rio de Janeiro	arraial do cabo,inss,marica,niterói,rio de janeiro, sao gonçalo,greve,	http://glo.bo/1UUHvJM							https://www.dropbox.com/s/nq8vkogkqjjsp4h/2015-07-13-%5Barraial%20do%20cabo%2Cinss%2Cmarica%2Cniter%C3%B3i%2Crio%20de%20janeiro%2C%20sao%20gon%C3%A7alo%2Cgreve%5D-Servidores%20do%20INSS%20seguem%20em%20greve%20%20com%20ag%C3%AAncias%20paralisadas%20no%20RJ.png?dl=0
7/14/2015 19:34:00	7/12/2015	PM perde controle de viatura alvejada por criminosos e morre em São Gonçalo		Uma policial militar morreu após capotar a viatura que dirigira na noite de ontem, em São Gonçalo, na região metropolitana do Rio. A soldado Vanessa da Conceição Oliveira, de 24 anos, lotada no 35º Batalhão da Polícia Militar (Itaboraí), teria perdido o controle da direção quando o carro foi alvejado por bandidos próximo ao Morro do Salgueiro. Vanessa e outro policial faziam uma ronda quando foram acionados para averiguar um caso de roubo de veículo. Eles teriam se perdido e acabaram nos arredores do Morro do Salgueiro, onde depararam com o bando. Os criminosos dispararam várias vezes contra a viatura, que capotou na altura da Rua Loncio de Oliveira.  O policial que estava com Vanessa no carro sofreu apenas escoriações. Ele conseguiu escapar, entrar em uma casa e solicitar reforços. Já a soldado chegou a ser levada para o Hospital Geral de São Gonçalo, mas não resistiu.  A 74ª Delegacia de Polícia (Alcântara) investiga o caso. Segundo a Polícia Civil, já foi solicitada a perícia da viatura, e o corpo de Vanessa foi encaminhado ao Instituto Médio Legal (IML). Os agentes também realizam diligências para localizar imagens de câmeras de segurança que possam auxiliar nas investigações.	Policial	Diário de Pernambuco	Agência Estado	São Gonçalo	pm,viatura,morre,sao goncalo,vanessa,policia	http://www.diariodepernambuco.com.br/app/noticia/brasil/2015/07/12/interna_brasil,586140/pm-perde-controle-de-viatura-alvejada-por-criminosos-e-morre-em-sao-goncalo.shtml							https://www.dropbox.com/s/voksy2bygvhkhm8/2015-07-12-%5Bpm%2Cviatura%2Cmorre%2Csao%20goncalo%2Cvanessa%2Cpolicia%5D-PM%20perde%20controle%20de%20viatura%20alvejada%20por%20criminosos%20e%20morre%20em%20S%C3%A3o%20Gon%C3%A7alo.png?dl=0
7/15/2015 10:46:18	5/8/2015	A poluição da baía e a São Gonçalo dos anos de 1950		Domingo passado dei uma zapeada na televisão e topei com uma cena insólita no Fantástico. Programa que adora mostrar cenas insólitas. O secretário estadual de Ambiente do Rio de Janeiro André Corrêa mergulhando de cabeça, nas águas poluídas da Baía de Guanabara. Para provar que o local é seguro para as competições de vela na Olimpíada do ano que vem. Não convenceu ninguém e a Federação Internacional de Vela já sugeriu que as provas sejam disputadas em outro local. Remadores e velejadores já toparam até com cadáveres nas águas da baía e o risco de contrair doenças como a hepatite é real. Afinal a Guanabara recebe 400 toneladas de esgoto doméstico por dia! São Gonçalo no passado   A cena no Fantástico me levou de volta a um período distante da minha infância. Entre os quatro e os nove anos de idade eu morei em São Gonçalo, perto do que é, hoje, a área mais poluída da baía. Minha família morava em uma vila de casas no Porto da Madama (e não madame) diante da Rua Comandante Ari Parreiras. Hoje em dia São Gonçalo tem o apelido de “inferno fluminense”, mas naquela época, na década de 1950, era um lugar agradável para se viver. A baía não era tão suja e a região era caracterizada pelos estaleiros e as indústrias de sardinha em lata. Meu irmão mais velho e minha irmã iam pescar no cais de uma dessas indústrias, a Sardinhas Maruí. Que ficava ali na altura do Barreto. E voltavam para casa com uma bolsa cheia de peixe. Bagres, tainhas e cocorocas que minha mãe fritava para alegria de todos. Eu tinha um cachorro branco, o Dick, e ia passear com ele na “praia da gasolina”. Que tinha esse nome devido a uns tanques enormes de armazenagem de combustível. A praia da gasolina era um manguezal e o cachorro corria atrás dos caranguejos, que se escondiam nos buracos na lama. Toda aquela região do contorno da baía era tomada por mangues que eram importantes para a manutenção da fauna local. Eles cobriam uma área de 260 quilômetros quadrados, que, segundo a Wikipédia, está reduzida hoje a 82 quilômetros quadrados. Sem os mangues o assoreamento da baía aumenta o que vem reduzindo a sua profundidade. Botos na Baía de Guanabara As vezes, nos fins de semana, a família pegava a barca em Niterói e ia até a ilha de Paquetá. E os botos acompanhavam a embarcação. A Baía de Guanabara tinha botos naquele tempo. Hoje em dia é difícil encontrar qualquer tipo de vida por lá. A sujeira já era um problema quando o Rio de Janeiro sediou a Conferência Mundial do Meio Ambiente em 1992. Na época cobri a reunião para o Jornal do Brasil e o governo prometeu que ia despoluir a Guanabara. Para isso receberam 1 bilhão de dólares do governo do Japão e do Banco Interamericano para o desenvolvimento. E hoje, três décadas depois, a Guanabara continua mais suja do que nunca. Degradação no país Não foi só a baia que se deteriorou. Tudo no Brasil sofreu uma degradação nesses cinquenta e tantos anos. Quando morei em São Gonçalo tinha uma ferrovia, um trem de bitola estreita, que passava bem diante da vila em que morávamos. A composição ligava Niterói a cidade de Campos, no norte fluminense, passando por Macaé. O trem foi extinto e existe atualmente um projeto para usar o antigo traçado em uma futura linha de VLT, o Veículo Leve sobre Trilhos. Olimpíadas O fato é que nunca mais voltei em São Gonçalo. As vezes passo por lá de carro, a caminho da região dos lagos, pela rodovia Niterói-Manilha, mas nunca me atrevi a rever a rua onde passei alguns anos da minha infância. Ia me decepcionar na certa. Quanto as Olimpíadas, a decisão da Federação Internacional de Vela é a mais sensata. O mundo inteiro assiste as Olimpíadas pela televisão e vai ser um vexame mostrar barcos a vela deslizando entre lixo e esgotos. O secretário de Ambiente foi esperto. Ele mergulhou no canal de entrada da baía, na hora da maré alta, quando a água limpa do oceano flui para dentro da Guanabara. Os velejadores vão partir da Marina da Glória, onde a água é puro esgoto.	Meio Ambiente	Diário do Vale	Jorge Luiz Calife/ jorge.calife@diariodovale.com.br	São Gonçalo	poluição,baia da guanabara,são goncalo,passado,degradacao,esgoto	http://diariodovale.com.br/colunas/a-poluicao-da-baia-e-a-sao-goncalo-dos-anos-de-1950/							https://www.dropbox.com/s/yfcelkw6w8kt4ku/2015-05-08-%5Bpolui%C3%A7%C3%A3o%2Cbaia%20da%20guanabara%2Cs%C3%A3o%20goncalo%2Cpassado%2Cdegradacao%2Cesgoto%2Cdiario%20do%20vale%5D-A%20polui%C3%A7%C3%A3o%20da%20baia%20e%20a%20S%C3%A3o%20Gon%C3%A7alo%20dos%20anos%20de%201950.png?dl=0
7/15/2015 10:53:21	7/14/2015	São Gonçalo: Guarda Municipal cria agenda de passeios ecológicos		Uma oportunidade para que os gonçalenses conheçam as belezas naturais do município e região. Com este objetivo, a Guarda Municipal de São Gonçalo vai começar a promover passeios ecológicos, através do Grupamento de Proteção ao Meio Ambiente (GPAm). O primeiro deles ocorreu neste domingo, dia 3 de maio, quando cerca de 200 pessoas participaram de uma caminhada de três horas até as cavernas de Santa Izabel. "O próximo será na Área de Proteção Ambiental (APA) de Guapimirim", revelou o comandante da Guarda Municipal, Alberto Mello, antecipando que em breve os interessados poderão se inscrever para participar do evento na página da corporação no Facebook. "É uma oportunidade de integração entre a população e os guardas municipais e ao mesmo tempo a chance de conhecer um lado que poucos conhecem. São Gonçalo tem belezas naturais e uma grande riqueza ambiental", ressaltou Mello. Os participantes saíram da Praça de Santa Izabel, às 9h, e chegaram ao destino - um conjunto de grutas que estão a 300 metros do nível do mar - às 12h. No total, existem 22 cavernas em uma extensão de aproximadamente 10 mil metros quadrados. Elas eram naturais, mas o estouro do lençol freático causado pela exploração da mineração provocou a formação de cavernas artificiais. Cada caverna possui salões com mais de 30 metros de altura e 100 metros quadrados de comprimento. "Eu já estou ansiosa para o próximo passeio. Foi uma oportunidade única de conhecer uma parte de São Gonçalo que eu nem imaginava que existia", disse a dona de casa Solange Silva Souza, 33 anos. A iniciativa desse primeiro passeio surgiu após solicitação feita pela microempresária Vânia Porto Neves, 40, que questionou a corporação sobre a possibilidade de um apoio ao evento. "Já tinha ido até as cavernas com a minha mãe, há cerca de dez anos. Surgiu a ideia de sugerir uma nova ida e muitas pessoas se mostraram interessadas pela internet. Acabei recebendo apoio e foi um sucesso", comemorou. Os interessados em participar do passeio até a APA de Guapimirim devem ficar atentos ao Facebook da Guarda Municipal de São Gonçalo, através do endereço http://www.facebook.com/GmunicipalSG.	Cidades				sao gonçalo,guarda municipal,passeios,ecologicos,santa izabel	http://jornaloitaborai.com.br/index.php/cidades/item/4068-são-gonçalo-guarda-municipal-cria-agenda-de-passeios-ecológicos		http://jornaloitaborai.com.br/images/Noticias/2015/Maio/08.05.2015/siteCópia_de_11174704_794621597312137_4507348429675532091_o.jpg					https://www.dropbox.com/s/wplac4xa46yro39/2015-07-14-%5Bsao%20gon%C3%A7alo%2Cguarda%20municipal%2Cpasseios%2Cecologicos%2Csanta%20izabel%5D-Sao%20Gon%C3%A7alo%20Guarda%20Municipal%20cria%20agenda%20de%20passeios%20ecol%C3%B3gicos.png?dl=0
7/15/2015 11:01:07	5/11/2015	Procon-RJ descarta 1 tonelada de carne em mercado de São Gonçalo	Desse total, mais de 700 quilos eram de carne bovina vencida. Uma filial foi interditada devido às condições de higiene.	Agentes do Procon Estadual, ligado à Secretaria de Estado de Proteção e Defesa do Consumidor, descartaram mais de uma tonelada de carne em uma filial dos Supermercados Texas, em São Gonçalo, na Região Metropolitana do Rio, na manhã desta segunda-feira (11) durante mais uma etapa da Operação Ranger. De acordo com o órgão, desse total, mais de 700 quilos eram de carne bovina com o prazo de validade vencido. No período da manhã, uma filial vistoriada havia sido totalmente interditada e outra foi parcialmente interditada devido às condições de higiene encontradas. Na primeira etapa da Operação Ranger, realizada em abril, em parceria com a Delegacia do Consumidor (Decon), os fiscais descartaram uma tonelada de produtos alimentícios impróprios para o consumo encontrados na Indústria de Comércio e Alimentos Soberano, distribuidora de carnes dos Supermercados Texas. A equipe de reportagem procurou um representante do supermercado mas ninguém quis se pronunciar.	G1 Rio	G1		São Gonçalo	procon,rio de janeiro,higiene,secretaria de estado,supermercados,texas,operacao ranger,delegacia do consumidor,alimentos			http://s2.glbimg.com/xGOv6Rk3rVClfyP0gBpCqLISI-0=/620x465/s.glbimg.com/jo/g1/f/original/2015/05/11/img-20150511-00706.jpg	http://s2.glbimg.com/fHyuKGU7f0uebPWnBSVlB1UUrv8=/620x465/s.glbimg.com/jo/g1/f/original/2015/05/11/img-20150511-00707.jpg				https://www.dropbox.com/s/43kfckawnpdc9dp/2015-05-11-%5Bprocon%2Crio%20de%20janeiro%2Chigiene%2Csecretaria%20de%20estado%2Csupermercados%2Ctexas%2Coperacao%20ranger%2Cdelegacia%20do%20consumidor%2Calimentos%5D-Procon%20RJ%20descarta%201%20tonelada%20de%20carne%20em%20mercado%20de%20Sao%20Goncalo.png?dl=0
7/15/2015 11:08:35	5/12/2015	ANP apura se Petrobras descumpriu contrato em licitação		Rio de Janeiro  - O órgão regulador do setor de petróleo no Brasil (ANP) está avaliando se a Petrobras infringiu contrato de concessão em uma área no pré-sal, ao convidar apenas empresas estrangeiras para uma licitação que teve como objetivo substituir um contrato bilionário cancelado com a Iesa Óleo e Gás, uma das investigadas na Operação Lava Jato.  Representantes da indústria disseram à Reuters que enviaram este ano um pedido de esclarecimento ao órgão regulador, já que regras impostas pela autarquia exigiam que empresas brasileiras fossem sempre convidadas para licitações de contratações de bens e serviços no bloco BM-S-11.  Participaram do questionamento a Federação das Indústrias do Estado de São Paulo (Fiesp), os Sindicatos dos Metalúrgicos de Niterói, São Gonçalo e Itaboraí e do Rio de Janeiro, além do Sindicato Nacional da Indústria da Construção e Reparação Naval e Offshore (Sinaval).  "Quando a Petrobras fez essa licitação (no exterior), ela deixou mil trabalhadores desempregados em Charqueadas, no Rio Grande do Sul, na obra da Iesa", disse o presidente do Sindicato dos Metalúrgicos de Niterói, São Gonçalo e Itaboraí, Edson Rocha.  Uma fonte próxima às discussões disse à Reuters que a agência reguladora já enviou uma correspondência com pedidos de explicações à Petrobras e também já se reuniu com a diretora de Exploração e Produção da empresa, Solange Guedes, e com o diretor de Engenharia, Tecnologia e Materiais, Roberto Moro.  Agora, a ANP aguarda uma defesa por escrito da Petrobras para que possa realizar análises técnica e jurídica e definir se deverá abrir um auto de infração contra a petroleira ou não. Mas não há prazo para a apresentação do documento.  A ANP confirmou que recebeu os questionamentos dos representantes da indústria e que enviou ofício à Petrobras, pedindo esclarecimentos sobre as questões levantadas.  "A ANP está aguardando a resposta", disse a autarquia, por e-mail, por meio de sua assessoria de imprensa. Procurada, a Petrobras não respondeu imediatamente pedidos de comentários e informações sobre a licitação. Não foi possível saber se a concorrência internacional já tem um vencedor.  CENÁRIO DE DIFICULDADES  Na reunião com a ANP, segundo a fonte, Solange Guedes e Moro explicaram que a Iesa, vencedora original do contrato de 720 milhões de dólares, teve uma série de complicações financeiras, entrou em recuperação judicial e atrasou encomendas de módulos de compressão de gás para plataformas.  A Petrobras acabou cancelando o contrato. "Corria o risco de ficar com todas as plataformas prontas, faltando apenas esses módulos", disse a fonte, explicando que a empresa acredita que uma contratação no país seria mais demorada.  Mas não é só isso. Envolvida em um escândalo de corrupção, a Petrobras proibiu mais de 20 fornecedoras da companhia, citadas nas investigações, de participarem de novas licitações.  Além de provar que a contratação no exterior foi fundamentada por necessidades comerciais, a empresa precisa ainda comprovar que não descumpriu cláusulas do contrato.  "Se a ANP entender que não houve descumprimento da cláusula de contrato, o assunto se encerra por aí", disse a fonte, na condição de anonimato. Caso contrário, a Petrobras terá que responder um processo administrativo na agência, no qual ainda terá a chance de recorrer. Se infringiu regras, a companhia poderá ser multada. A concorrência, convocada após o cancelamento do contrato com a Iesa em novembro de 2014, busca a contratação de 24 módulos de compressão de gás para seis plataformas (da P-66 a P-71) que serão instaladas no bloco BM-S-11, na Bacia de Santos, sendo quatro no campo de Lula e duas na área de Iara.  O contrato tinha ainda a opção de fornecimento de mais oito módulos para outras plataformas, o que elevaria o valor do acordo para mais de 900 milhões de dólares.  Ao arrematar o bloco BM-S-11, na 2ª Rodada de Blocos Exploratórios de Petróleo, da ANP, no ano 2000, a Petrobras e suas sócias nessa área, a BG e Galp se comprometeram em dar oportunidade a fornecedores, alegam os representantes da indústria.  A P-66 e a P-67 deveriam entrar em operação em 2016, segundo cronograma original. Entretanto, em sua última conversa com jornalistas e analistas de mercado, executivos da Petrobras indicaram que as plataformas não serão entregues no prazo. As novas datas devem ser apresentadas junto com o Plano de Negócios e Gestão 2015-2019 da petroleira, ainda em elaboração.	Negócios	Exame.com	Marta Nogueira		anp,petrobas,descumpriu,licitacao,regulador,orgao,contrato,pre-sal,lesa,oleo e gas,rutiers,sindicatos,metalurgicos,sao goncalo,itaborai,exame			http://assets1.exame.abril.com.br/assets/images/2015/2/528763/size_810_16_9_logo-petrobras.jpg					https://www.dropbox.com/s/3mlrpg88xpo9e2y/2015-05-12-%5Banp%2Cpetrobas%2Cdescumpriu%2Clicitacao%2Cregulador%2Corgao%2Ccontrato%2Cpre-sal%2Clesa%2Coleo%20e%20gas%2Crutiers%2Csindicatos%2Cmetalurgicos%2Csao%20goncalo%2Citaborai%2Cexame%5D-ANP%20apura%20se%20Petrobras%20descumpriu%20contrato%20em%20licita%C3%A7%C3%A3o.png?dl=0
7/15/2015 11:15:39	5/12/2015	RJ NOTÍCIAS - DECISÃO DA JUSTIÇA SUSPENDEU SERVIÇO DE VANS EM SÃO GONÇALO				Rede TV	Rede TV	São Gonçalo	video,vans,rede tv,decisão,justiça,serviço,são goncalo,rede tv	http://www.televideoteca.com.br/rede-tv/rj-noticias/decisao-da-justica-suspendeu-servico-de-vans-em-sao-goncalo-84849	http://www.redetv.uol.com.br/videos/rj-noticias/decisao-da-justica-suspendeu-servico-de-vans-em-sao-goncalo						https://www.dropbox.com/s/qs4yt95ohlqb664/2015-05-12-%5Bvideo%2Cvans%2Crede%20tv%2Cdecis%C3%A3o%2Cjusti%C3%A7a%2Cservi%C3%A7o%2Cs%C3%A3o%20goncalo%2Crede%20tv%5D-RJ%20Not%C3%ADcias%20Decis%C3%A3o%20da%20Justi%C3%A7a%20suspendeu%20servi%C3%A7o%20de%20vans%20em%20Sao%20Goncalo.png?dl=0
7/15/2015 11:24:19	5/12/2015	Grupos de trabalho se reúnem para planejar ações		O Fórum da Agenda 21 de São Gonçalo esteve reunido no dia 5 de maio, no Centro de Integração Comperj, em mais uma reunião ordinária, que contou com a participação da equipe de consultoria do Instituto de Lógica, Filosofia e Teoria da Ciência (ILTC) e de pessoas convidadas a conhecerem melhor o trabalho do grupo. Na ocasião, os Grupos de Trabalho (GTs) deram continuidade ao planejamento de ações do Fórum Local. Após a realização da Oficina Permita-se ir Além, ministrada pelo ILTC, o Fórum Local criou dois GTs: um sobre o projeto Ecovida, que levará a Agenda 21 Escolar para escolas do município; e outro grupo sobre o projeto Parque Botânico Ambiental, na Fazenda Engenho Pequeno, que pretende garantir a conservação histórica e cultural da fazenda, além da restauração florestal da área desocupada do entorno. Ecovida Numa parceria entre a Agenda 21 de São Gonçalo e o Instituto SuperArte, o projeto tem como objetivo a melhora da qualidade de vida de 1.600 alunos de quatro Escolas Municipais de São Gonçalo e seus familiares por meio da implementação da Agenda 21 Escolar e de atividades sustentáveis dentro dos eixos ambiental, cultural, esportivo e educacional/profissional em um período de dois anos. O projeto é baseado nos princípios da Agenda 21 de São Gonçalo e da Agenda 21 Escolar, com o foco inicialmente na educação infantil ao 5º ano do ensino fundamental na execução de atividades que também estão inseridas nas propostas contidas no Plano Local de Desenvolvimento Sustentável (PLDS) de São Gonçalo. São elas: - Educação: Alfabetização; reforço escolar; inglês; informática; cursos de capacitação na área administrativa; cursos de qualificação profissional na área naval; e cursos na área de artesanato; - Cultura: Atividades de dança; teatro; e capoeira; - Esporte: Futebol; Vôlei, Basquete; Handball; Judô; Jiu-Jitsu e Lutas Olímpicas; - Meio Ambiente: Criação e manutenção de Hortas Orgânicas nas escolas; criação e manutenção de viveiros silvestres nas escolas; e implementação de um programa de coleta seletiva nas escolas. Parque Botânico O projeto do Parque Botânico Ambiental, ainda em fase de elaboração, e que será implementado na Fazenda Engenho Pequeno, pretende garantir a conservação histórica e cultural da fazenda, além da restauração florestal da área desocupada do entorno, impossibilitando assim a ocupação desordenada no município. No dia 14 de maio, O GT realizará uma visita técnica à fazenda. Fórum Local e Primeiro Setor A reunião também foi uma boa oportunidade para reaproximação entre o grupo e o poder público municipal. Na ocasião, o secretário de Meio Ambiente, Ricardo Harduim, assumiu a responsabilidade de organizar as cadeiras do primeiro setor, que ainda não foram ocupadas desde a última renovação do Fórum, e disse acreditar que muito em breve será oficializada a participação do Primeiro Setor no Fórum de São Gonçalo. O Comitê das Agendas 21 da Região do Conleste (ComARC), representado pela vice-presidente, Miriam Fernandes, também participou da reunião e reafirmou o compromisso do comitê em promover a articulação entre o poder público e a sociedade civil para o desenvolvimento sustentável da região do Conleste, fortalecendo os 14 Fóruns da Agenda 21 Comperj.		Agenda 21 São Gonçalo	Maria Fernanda Schardong	São Gonçalo	agenda 21,sao goncalo,planejar,comperj,oficina,permita-se ir alem,ecovida,escolas,parque,botânico,forum,primeiro,setor,comite,conleste,desenvolvimento,sustentável			http://www.agenda21comperj.com.br/sites/localhost/files/SG.jpg	http://www.agenda21comperj.com.br/sites/localhost/files/Sg2.jpg				https://www.dropbox.com/s/wfym9nfdadcrsuw/2015-05-12-%5Bagenda%2021%2Csao%20goncalo%2Cplanejar%2Ccomperj%2Coficina%2Cpermita-se%20ir%20alem%2Cecovida%2Cescolas%2Cparque%2Cbot%C3%A2nico%2Cforum%2Cprimeiro%2Csetor%2Ccomite%2Cconleste%2Cdesenvolvimento%2Csustent%C3%A1vel%5D-Grupos%20de%20trabalho%20se%20re%C3%BAnem%20para%20planejar%20a%C3%A7%C3%B5es%20Sao%20Goncalo.png?dl=0
7/15/2015 11:31:25	5/14/2015	“Vivemos um caos na educação de São Gonçalo”	Beatriz Lugão, professora no município da região metropolitana do Rio de Janeiro, fala sobre a situação no setor e sobre a greve decretada pela categoria.	São Gonçalo é o segundo maior município do estado do Rio de Janeiro com mais de um milhão de habitantes, atrás apenas da capital. Embora grande, a educação na cidade vive uma crise, segundo denuncia o Sindicato Estadual dos Profissionais de Educação no RJ (Sepe-RJ). Reunidos em assembleia na última terça-feira (12), cerca de 250 profissionais de educação decretaram greve por 72h a partir da próxima segunda-feira (18). O Brasil de Fato RJ cruzou a ponte e foi até o município da região metropolitana para entrevistar Beatriz Lugão. Diretora do Sepe e professora em São Gonçalo, ela nos contou sobre a situação vivida ali. Confira.  Brasil de Fato - Qual a situação da educação em São Gonçalo?  Beatriz Lugão - Estamos sem profissionais de limpeza nas escolas, não temos merenda para os alunos, faltam professores e os que estão dobrando o expediente não receberam por isso, o pessoal que está contratado não está recebendo. Estamos vivendo um caos completo na educação de São Gonçalo.  O que foi decidido na assembleia da categoria? Uma greve de advertência de 72h a partir da próxima segunda-feira, dia 18. Vamos fazer uma mobilização de rua na terça-feira (19), quando faremos uma passeata saindo da secretaria de educação e indo até a prefeitura de São Gonçalo, e sem hora para acabar. Nossa ideia é trazer pais, alunos e mobilizar a população que ano passado assistiu a uma greve de três meses da educação em São Gonçalo e apoiou nossas atividades. Queremos chamar atenção da população para o descaso que continua e que até piorou do ano passado pra cá.  Vocês decretam greve num cenário onde outros profissionais da educação do país também estão em paralisação. Como você avalia este momento?  Os profissionais da educação talvez sejam hoje um dos setores mais mobilizados, porque é um dos setores que mais trabalham com o público, junto com os profissionais da saúde. É um dos setores que mais têm sentido o corte de verbas e é um dos que mais têm sentido com a mentira de todos os governos. A pátria educadora está batendo em professor, em funcionário de escola. A pátria educadora educa com a repressão aos movimentos dos educadores e aos movimentos sociais. Educa cortando verba da educação e da saúde. Não tem como os profissionais da educação não explodirem. A educação em nosso país é uma panela de pressão.  Qual a importância da sociedade apoiar a luta pela educação?  Ela precisa abraçar a educação, não achar que só os educadores que precisam brigar. Quando os educadores entram em greve é porque está insuportável a situação dentro da escola. Aqui vamos fazer uma greve de advertência. Estamos no segundo bimestre sem merenda, sem condições de trabalho, com banheiro sujo na creche, sem material escolar. Então é um basta que a categoria está dando e é preciso que a população venha também para essa luta.  Qual é o seu o recado aos leitores do Brasil de Fato?  Vocês precisam vir para as lutas sociais, vir para as ruas, no próximo dia 29 de maio tem uma greve geral no país. O leitor do Brasil de Fato precisa trazer para si essa luta, participar. Alguma coisa tem que ser feita. Somente o povo na rua é capaz de mudar esse estado de coisas. Então aquele trabalhador que está saindo cansado, vai sair cada dia mais cansado, com uma passagem de ônibus cada dia mais cara, morando cada dia mais distante do seu trabalho, com seu filho estudando em uma escola cada vez mais precária, com um péssimo serviço de saúde. Esse trabalhador precisa vir para as ruas e dar um basta nessa situação colocada.	Educação	Brasil de Fato	André Vieira	São Gonçalo	sao goncalo,educacao,caos,situacao,greve,metropolitana,beatriz lugar,brasil de fato	http://www.brasildefato.com.br/node/32057		http://www.brasildefato.com.br/sites/default/files/u2029/beatrizlugao_Fellippo_Brando_Alerj.jpg					https://www.dropbox.com/s/esfc4cdjqstno83/2015-05-14-%5Bsao%20goncalo%2Ceducacao%2Ccaos%2Csituacao%2Cgreve%2Cmetropolitana%2Cbeatriz%20lugar%2Cbrasil%20de%20fato%5D-Vivemos%20um%20caos%20na%20educacao%20de%20Sao%20Goncalo.png?dl=0
7/15/2015 11:36:39	5/13/2015	Moradores de São Gonçalo terão carteira de trabalho informatizadas		Os moradores de São Gonçalo já pode solicitar a nova Carteira de Trabalho e Previdência Social (CTPS) informatizada. “O município de São Gonçalo é um dos pioneiros na implantação do novo sistema, estabelecido através da portaria do MTE número 369/2013, e que estará disponível à população, a partir do mês de abril. Essa parceria com o Ministério do Trabalho significa um avanço nas políticas públicas de atendimento ao trabalhador gonçalense”, declarou o secretário. O objetivo das mudanças é dificultar rasuras e evitar fraudes contra o Seguro-Desemprego, Fundo de Garantia do Tempo de Serviço (FGTS) e benefícios previdenciários. O serviço de emissão será oferecido no Sistema Nacional de Emprego (Sine) do Mutondo, situado na sede da Secretaria de Trabalho, na Rua Uriscina Vargas, número 36, Mutondo.	Trabalho e Renda	Sescon - Rio de Janeiro		São Gonçalo	sao goncalo,moradores,carteira de trabalho,informatizadas,ministerio do trabalho	http://www.sescon-rj.org.br/wp/noticia/moradores-de-sao-goncalo-terao-carteira-de-trabalho-informatizadas/							https://www.dropbox.com/s/9pyivh3jmqc9xkc/2015-05-13-%5Bsao%20goncalo%2Cmoradores%2Ccarteira%20de%20trabalho%2Cinformatizadas%2Cministerio%20do%20trabalho%5D-Moradores%20de%20Sao%20Goncalo%20terao%20carteira%20de%20trabalho%20informatizadas%20Sescon%20RJ%20%E2%80%93%20Sindicato%20das%20Empresas%20de%20Servicos%20Contabeis%20do%20Estado%20do%20Rio%20de%20Janeiro.png?dl=0
